"train/global_step","qwen3vl_rl - _step","qwen3vl_rl - _step__MIN","qwen3vl_rl - _step__MAX","qwen3vl_rl - train/loss","qwen3vl_rl - train/loss__MIN","qwen3vl_rl - train/loss__MAX"
"502","2509","2509","2509","0","0","0"
"503","2514","2514","2514","-0.0007","-0.0007","-0.0007"
"504","2519","2519","2519","-0.0037","-0.0037","-0.0037"
"505","2524","2524","2524","0","0","0"
"506","2529","2529","2529","0","0","0"
"507","2534","2534","2534","0.0024","0.0024","0.0024"
"508","2539","2539","2539","-0.0003","-0.0003","-0.0003"
"509","2544","2544","2544","0.0021","0.0021","0.0021"
"510","2549","2549","2549","0","0","0"
"511","2554","2554","2554","0","0","0"
"512","2559","2559","2559","-0.0003","-0.0003","-0.0003"
"513","2564","2564","2564","0","0","0"
"514","2569","2569","2569","-0.0034","-0.0034","-0.0034"
"515","2574","2574","2574","-0.0034","-0.0034","-0.0034"
"516","2579","2579","2579","0.0041","0.0041","0.0041"
"517","2584","2584","2584","0.0031","0.0031","0.0031"
"518","2589","2589","2589","-0.0017","-0.0017","-0.0017"
"519","2594","2594","2594","0","0","0"
"520","2599","2599","2599","-0.0013","-0.0013","-0.0013"
"521","2604","2604","2604","0","0","0"
"522","2609","2609","2609","-0.0006","-0.0006","-0.0006"
"523","2614","2614","2614","0","0","0"
"524","2619","2619","2619","-0.0003","-0.0003","-0.0003"
"525","2624","2624","2624","0.0024","0.0024","0.0024"
"526","2629","2629","2629","0","0","0"
"527","2634","2634","2634","-0.0031","-0.0031","-0.0031"
"528","2639","2639","2639","0","0","0"
"529","2644","2644","2644","0.0011","0.0011","0.0011"
"530","2649","2649","2649","-0.0003","-0.0003","-0.0003"
"531","2654","2654","2654","-0.0047","-0.0047","-0.0047"
"532","2659","2659","2659","0","0","0"
"533","2664","2664","2664","0.0001","0.0001","0.0001"
"534","2669","2669","2669","0","0","0"
"535","2674","2674","2674","0","0","0"
"536","2679","2679","2679","0","0","0"
"537","2684","2684","2684","0","0","0"
"538","2689","2689","2689","0.0024","0.0024","0.0024"
"539","2694","2694","2694","-0.0006","-0.0006","-0.0006"
"540","2699","2699","2699","0","0","0"
"541","2704","2704","2704","0","0","0"
"542","2709","2709","2709","0","0","0"
"543","2714","2714","2714","0","0","0"
"544","2719","2719","2719","0","0","0"
"545","2724","2724","2724","-0.0007","-0.0007","-0.0007"
"546","2729","2729","2729","0","0","0"
"547","2734","2734","2734","-0.0024","-0.0024","-0.0024"
"548","2739","2739","2739","0","0","0"
"549","2744","2744","2744","0.0001","0.0001","0.0001"
"550","2749","2749","2749","0","0","0"
"551","2754","2754","2754","0","0","0"
"552","2759","2759","2759","0.0035","0.0035","0.0035"
"553","2764","2764","2764","0","0","0"
"554","2769","2769","2769","0","0","0"
"555","2774","2774","2774","0","0","0"
"556","2779","2779","2779","0","0","0"
"557","2784","2784","2784","-0.0038","-0.0038","-0.0038"
"558","2789","2789","2789","0.0007","0.0007","0.0007"
"559","2794","2794","2794","0","0","0"
"560","2799","2799","2799","0","0","0"
"561","2804","2804","2804","-0.0003","-0.0003","-0.0003"
"562","2809","2809","2809","0.0001","0.0001","0.0001"
"563","2814","2814","2814","0","0","0"
"564","2819","2819","2819","0.0038","0.0038","0.0038"
"565","2824","2824","2824","0","0","0"
"566","2829","2829","2829","0.0042","0.0042","0.0042"
"567","2834","2834","2834","0","0","0"
"568","2839","2839","2839","0","0","0"
"569","2844","2844","2844","0","0","0"
"570","2849","2849","2849","0","0","0"
"571","2854","2854","2854","0.0034","0.0034","0.0034"
"572","2859","2859","2859","0","0","0"
"573","2864","2864","2864","-0.0006","-0.0006","-0.0006"
"574","2869","2869","2869","0","0","0"
