"train/global_step","qwen3vl_rl - _step","qwen3vl_rl - _step__MIN","qwen3vl_rl - _step__MAX","qwen3vl_rl - train/num_tokens","qwen3vl_rl - train/num_tokens__MIN","qwen3vl_rl - train/num_tokens__MAX"
"361","1804","1804","1804","3623276","3623276","3623276"
"362","1809","1809","1809","3654844","3654844","3654844"
"363","1814","1814","1814","3656758","3656758","3656758"
"364","1819","1819","1819","3667508","3667508","3667508"
"365","1824","1824","1824","3686156","3686156","3686156"
"366","1829","1829","1829","3703742","3703742","3703742"
"367","1834","1834","1834","3712068","3712068","3712068"
"368","1839","1839","1839","3714543","3714543","3714543"
"369","1844","1844","1844","3716709","3716709","3716709"
"370","1849","1849","1849","3719005","3719005","3719005"
"371","1854","1854","1854","3733770","3733770","3733770"
"372","1859","1859","1859","3752984","3752984","3752984"
"373","1864","1864","1864","3754428","3754428","3754428"
"374","1869","1869","1869","3756336","3756336","3756336"
"375","1874","1874","1874","3780512","3780512","3780512"
"376","1879","1879","1879","3789579","3789579","3789579"
"377","1884","1884","1884","3796227","3796227","3796227"
"378","1889","1889","1889","3805537","3805537","3805537"
"379","1894","1894","1894","3824239","3824239","3824239"
"380","1899","1899","1899","3832579","3832579","3832579"
"381","1904","1904","1904","3850451","3850451","3850451"
"382","1909","1909","1909","3852615","3852615","3852615"
"383","1914","1914","1914","3875653","3875653","3875653"
"384","1919","1919","1919","3882090","3882090","3882090"
"385","1924","1924","1924","3890088","3890088","3890088"
"386","1929","1929","1929","3892572","3892572","3892572"
"387","1934","1934","1934","3908164","3908164","3908164"
"388","1939","1939","1939","3910378","3910378","3910378"
"389","1944","1944","1944","3916641","3916641","3916641"
"390","1949","1949","1949","3935168","3935168","3935168"
"391","1954","1954","1954","3958050","3958050","3958050"
"392","1959","1959","1959","3967274","3967274","3967274"
"393","1964","1964","1964","3991072","3991072","3991072"
"394","1969","1969","1969","4009776","4009776","4009776"
"395","1974","1974","1974","4026521","4026521","4026521"
"396","1979","1979","1979","4041662","4041662","4041662"
"397","1984","1984","1984","4043588","4043588","4043588"
"398","1989","1989","1989","4045812","4045812","4045812"
"399","1994","1994","1994","4048008","4048008","4048008"
"400","1999","1999","1999","4066186","4066186","4066186"
"401","2004","2004","2004","4090829","4090829","4090829"
"402","2009","2009","2009","4110224","4110224","4110224"
"403","2014","2014","2014","4112468","4112468","4112468"
"404","2019","2019","2019","4118896","4118896","4118896"
"405","2024","2024","2024","4125858","4125858","4125858"
"406","2029","2029","2029","4144184","4144184","4144184"
"407","2034","2034","2034","4151978","4151978","4151978"
"408","2039","2039","2039","4159242","4159242","4159242"
"409","2044","2044","2044","4165362","4165362","4165362"
"410","2049","2049","2049","4183509","4183509","4183509"
"411","2054","2054","2054","4185443","4185443","4185443"
"412","2059","2059","2059","4187354","4187354","4187354"
"413","2064","2064","2064","4189247","4189247","4189247"
"414","2069","2069","2069","4190968","4190968","4190968"
"415","2074","2074","2074","4209454","4209454","4209454"
"416","2079","2079","2079","4211384","4211384","4211384"
"417","2084","2084","2084","4218952","4218952","4218952"
"418","2089","2089","2089","4238005","4238005","4238005"
"419","2094","2094","2094","4239572","4239572","4239572"
"420","2099","2099","2099","4246534","4246534","4246534"
"421","2104","2104","2104","4248006","4248006","4248006"
"422","2109","2109","2109","4262463","4262463","4262463"
"423","2114","2114","2114","4273974","4273974","4273974"
"424","2119","2119","2119","4275436","4275436","4275436"
"425","2124","2124","2124","4288408","4288408","4288408"
"426","2129","2129","2129","4296726","4296726","4296726"
"427","2134","2134","2134","4310154","4310154","4310154"
"428","2139","2139","2139","4312465","4312465","4312465"
"429","2144","2144","2144","4333820","4333820","4333820"
"430","2149","2149","2149","4343058","4343058","4343058"
"431","2154","2154","2154","4345492","4345492","4345492"
"432","2159","2159","2159","4354764","4354764","4354764"
"433","2164","2164","2164","4374797","4374797","4374797"
"434","2169","2169","2169","4400462","4400462","4400462"
"435","2174","2174","2174","4408080","4408080","4408080"
"436","2179","2179","2179","4424796","4424796","4424796"
"437","2184","2184","2184","4426346","4426346","4426346"
"438","2189","2189","2189","4428269","4428269","4428269"
"439","2194","2194","2194","4437729","4437729","4437729"
"440","2199","2199","2199","4446073","4446073","4446073"
"441","2204","2204","2204","4448309","4448309","4448309"
"442","2209","2209","2209","4457521","4457521","4457521"
"443","2214","2214","2214","4459874","4459874","4459874"
"444","2219","2219","2219","4475041","4475041","4475041"
"445","2224","2224","2224","4482419","4482419","4482419"
"446","2229","2229","2229","4499387","4499387","4499387"
"447","2234","2234","2234","4507416","4507416","4507416"
"448","2239","2239","2239","4526346","4526346","4526346"
"449","2244","2244","2244","4528248","4528248","4528248"
"450","2249","2249","2249","4529838","4529838","4529838"
"451","2254","2254","2254","4532302","4532302","4532302"
"452","2259","2259","2259","4556458","4556458","4556458"
"453","2264","2264","2264","4581961","4581961","4581961"
"454","2269","2269","2269","4612141","4612141","4612141"
"455","2274","2274","2274","4619514","4619514","4619514"
"456","2279","2279","2279","4627077","4627077","4627077"
"457","2284","2284","2284","4629242","4629242","4629242"
"458","2289","2289","2289","4630828","4630828","4630828"
"459","2294","2294","2294","4639725","4639725","4639725"
"460","2299","2299","2299","4659133","4659133","4659133"
"461","2304","2304","2304","4668516","4668516","4668516"
"462","2309","2309","2309","4684701","4684701","4684701"
"463","2314","2314","2314","4693941","4693941","4693941"
"464","2319","2319","2319","4695864","4695864","4695864"
"465","2324","2324","2324","4697817","4697817","4697817"
"466","2329","2329","2329","4699757","4699757","4699757"
"467","2334","2334","2334","4701905","4701905","4701905"
"468","2339","2339","2339","4704461","4704461","4704461"
"469","2344","2344","2344","4713653","4713653","4713653"
"470","2349","2349","2349","4721652","4721652","4721652"
"471","2354","2354","2354","4730949","4730949","4730949"
"472","2359","2359","2359","4738289","4738289","4738289"
"473","2364","2364","2364","4756775","4756775","4756775"
"474","2369","2369","2369","4758528","4758528","4758528"
"475","2374","2374","2374","4767526","4767526","4767526"
"476","2379","2379","2379","4774361","4774361","4774361"
"477","2384","2384","2384","4787869","4787869","4787869"
"478","2389","2389","2389","4806611","4806611","4806611"
"479","2394","2394","2394","4809110","4809110","4809110"
"480","2399","2399","2399","4818587","4818587","4818587"
"481","2404","2404","2404","4820497","4820497","4820497"
"482","2409","2409","2409","4840522","4840522","4840522"
"483","2414","2414","2414","4842452","4842452","4842452"
"484","2419","2419","2419","4843907","4843907","4843907"
"485","2424","2424","2424","4854060","4854060","4854060"
"486","2429","2429","2429","4856278","4856278","4856278"
"487","2434","2434","2434","4858436","4858436","4858436"
"488","2439","2439","2439","4873295","4873295","4873295"
"489","2444","2444","2444","4874861","4874861","4874861"
"490","2449","2449","2449","4876850","4876850","4876850"
"491","2454","2454","2454","4879312","4879312","4879312"
"492","2459","2459","2459","4888535","4888535","4888535"
"493","2464","2464","2464","4895781","4895781","4895781"
"494","2469","2469","2469","4903141","4903141","4903141"
